,词语,词频
0,充满,114
1,希望,503
2,的,54485
3,新,2231
4,世纪,440
5,一九九八年,34
6,新年,252
7,讲话,233
8,附,283
9,图片,483
10,张,1153
11,总书记,97
12,国家,1980
13,主席,638
14,江,490
15,泽民,451
16,十二月,26
17,三十一日,11
18,日,3213
19,中共中央,199
20,发表,301
21,年,4873
22,迈向,31
23,新华社,655
24,记者,2097
25,兰,20
26,红光,5
27,摄,364
28,们,829
29,朋友,150
30,女士,41
31,先生,156
32,来临,57
33,之际,89
34,我,1690
35,十分,306
36,高兴,115
37,地,2416
38,通过,725
39,中央,652
40,人民,1562
41,广播,121
42,电台,55
43,中国,3153
44,国际,988
45,和,10912
46,电视台,137
47,向,1319
48,全国,1510
49,各族,77
50,香港,517
51,特别,517
52,行政区,37
53,同胞,143
54,澳门,62
55,台湾,310
56,海外,85
57,侨胞,21
58,世界,1114
59,各国,179
60,致以,41
61,诚挚,12
62,问候,82
63,良好,268
64,祝愿,67
65,是,9828
66,发展,3200
67,历史,672
68,上,3794
69,非常,163
70,重要,969
71,很,907
72,不,4505
73,平凡,39
74,一,7186
75,决心,79
76,继承,61
77,邓,210
78,小平,174
79,同志,873
80,遗志,5
81,继续,558
82,把,1549
83,建设,1739
84,有,4602
85,特色,217
86,社会主义,708
87,事业,460
88,推向,69
89,前进,97
90,政府,1212
91,顺利,149
92,恢复,183
93,对,3748
94,行使,36
95,主权,56
96,并,1572
97,按照,262
98,一国两制,61
99,港人治港,11
100,高度,227
101,自治,109
102,方针,224
103,保持,361
104,繁荣,143
105,稳定,546
106,共产党,102
107,成功,333
108,召开,276
109,了,11557
110,第十五,20
111,次,1088
112,代表大会,77
113,高举,104
114,邓小平理论,235
115,伟大,214
116,旗帜,132
117,总结,111
118,百年,62
119,展望,20
120,制定,268
121,跨,125
122,行动,281
123,纲领,31
124,这,3016
125,中,3688
126,改革,1257
127,开放,355
128,现代化,285
129,向前,35
130,迈进,23
131,国民经济,176
132,高,1027
133,增长,750
134,低,249
135,通胀,29
136,态势,43
137,农业,698
138,生产,882
139,再次,137
140,获得,267
141,好,1292
142,收成,23
143,企业,2306
144,深化,146
145,生活,781
146,进一步,569
147,改善,246
148,对外,81
149,经济,2642
150,技术,937
151,合作,743
152,与,2879
153,交流,192
154,不断,418
155,扩大,255
156,民主,146
157,法制,91
158,精神文明,219
159,其他,380
160,各项,222
161,都,1902
162,进展,165
163,我们,1966
164,关注,176
165,最近,218
166,一个,1855
167,时期,284
168,一些,900
169,地区,1188
170,发生,420
171,金融,857
172,风波,26
173,相信,131
174,这些,622
175,努力,512
176,以及,452
177,有关,776
178,情况,615
179,会,885
180,逐步,208
181,得到,373
182,缓解,40
183,总的来说,4
184,全局,76
185,外交,184
186,工作,2397
187,取得,581
188,成果,293
189,高层,26
190,互访,16
191,美国,1120
192,俄罗斯,253
193,法国,211
194,日本,463
195,等,2773
196,大国,91
197,确定,160
198,双方,268
199,关系,1049
200,未来,172
201,目标,345
202,指导,234
203,周边,28
204,广大,387
205,发展中国家,70
206,友好,198
207,加强,828
208,积极,594
209,参与,232
210,亚,41
211,太,168
212,经合,7
213,组织,829
214,活动,1048
215,参加,533
216,东盟,21
217,韩,128
218,首脑,80
219,非正式,8
220,会晤,87
221,符合,137
222,和平,460
223,时代,218
224,主题,99
225,顺应,13
226,走向,134
227,多极化,27
228,趋势,150
229,对于,257
230,促进,444
231,社会,1190
232,共同,454
233,作出,366
234,贡献,267
235,将,2407
236,满怀信心,8
237,开创,51
238,业绩,53
239,尽管,127
240,在,11457
241,还,1560
242,面临,158
243,不少,222
244,困难,530
245,但,1188
246,指引,33
247,近,533
248,来,1615
249,成就,136
250,积累,70
251,丰富,152
252,经验,273
253,各种,316
254,有利,62
255,条件,420
256,一定,366
257,能够,202
258,克服,95
259,稳步前进,4
260,只要,143
261,解放思想,82
